what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1358971531081
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1358971531104
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1358971531106
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1358971531119
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1358971531142
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1358971531146
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1358971531161
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1358971531167
os,sysinfo,,,"linux",1358971531171
arch,sysinfo,,,"x86",1358971531171
ws,sysinfo,,,"gtk",1358971531171
locale,sysinfo,,,"ru_RU",1358971531171
processors,sysinfo,,,"2",1358971531171
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1358971531171
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1358971531171
java.specification.name,sysinfo,,,"Java Platform API Specification",1358971531171
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358971531171
java.specification.version,sysinfo,,,"1.6",1358971531171
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1358971531171
java.version,sysinfo,,,"1.6.0_24",1358971531171
java.vm.info,sysinfo,,,"mixed mode, sharing",1358971531171
java.vm.name,sysinfo,,,"OpenJDK Client VM",1358971531171
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358971531171
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358971531171
java.vm.specification.version,sysinfo,,,"1.0",1358971531171
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1358971531171
java.vm.version,sysinfo,,,"20.0-b12",1358971531171
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1358971531733
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1358971531822
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1358971532221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358971535671
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358971536376
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358971540552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358971540672
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358971540693
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358971543878
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358971543998
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358971544019
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358971548853
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1358971549069
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1358971549089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358971550554
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1358971552063
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1358971552745
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1358971553193
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1358971553218
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1358971553225
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1358971553241
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1358971553253
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1358971553279
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1358971553376
